"x"	"y"	"type"	"predictor"	"rank"	"feat"	"varimp"
"51"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	1	"X_hsa05200__39___198"	238.980559074075
"52"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	2	"X_hsa04012__11_12___65"	238.342858147129
"53"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	3	"X_hsa04066__12___29"	194.012096623876
"54"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	4	"X_hsa04151__43___99"	166.126612313203
"55"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	5	"X_hsa04012__33___40"	161.88278498249
"56"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	6	"X_hsa04064__119___3"	145.97613234349
"57"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	7	"X_hsa04919__33___39"	113.614634435914
"58"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	8	"X_hsa04151__43___98"	87.2957370459332
"59"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	9	"X_hsa04064__119___2"	69.3064308647021
"60"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	10	"X_hsa05200__39___194"	58.3542280490869
"61"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	11	"X_hsa04520__22___4"	47.7880011840966
"62"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	12	"X_hsa05200__39___197"	42.3133820517383
"63"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	13	"X_hsa05200__27___48"	40.2444956382765
"64"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	14	"X_hsa04066__12___43"	39.1437827293489
"65"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	15	"X_hsa04012__53___40"	36.3884382667796
"66"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	16	"X_hsa04066__12___62"	33.8063744047567
"67"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	17	"X_hsa04010__1___64"	33.3650362082656
"68"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	18	"X_hsa04024__50___123"	32.9786685230536
"69"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	19	"X_hsa04650__42___15"	30.988015004175
"70"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	20	"X_hsa05200__27___200"	28.1600135699377
"71"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	21	"X_hsa04012__11_12___3"	27.0817914974419
"72"	"path.vals"	"subtype.grps"	"path-wise"	"predictorLogitLasso"	22	"X_hsa04520__22___18"	25.5953458958869
